,Name_FG,Tm,mean_batspeed,mean_swinglength,attack_angle,PA,AB,AVG,OBP,SLG,OPS,wOBA,wRC+,Name_SC,batter_cluster
467,Aaron Hicks-L,LAA,66.79444444444444,7.033333333333333,7.715096646024704,46,41,0.121951219,0.217391304,0.121951219,0.339342523,0.1707436338714931,2.123287161185116,"Hicks, Aaron",8
468,Sam Hilliard,COL,74.6922077922078,7.066233766233767,14.41194313904404,158,138,0.239130434,0.305194805,0.507246376,0.812441181,0.341869484365376,106.66311505155326,"Hilliard, Sam",6
469,Jackson Holliday,BAL,71.05583333333334,7.095833333333333,13.886874264520074,208,190,0.189473684,0.254807692,0.310526315,0.565334007,0.2512777338807399,63.16883344251265,"Holliday, Jackson",6
470,Spencer Horwitz,TOR,69.13319838056681,7.010121457489879,17.534672414761566,381,328,0.265243902,0.35695538,0.432926829,0.789882209,0.3440954686783863,127.1824659214581,"Horwitz, Spencer",6
471,Jacob Hurtubise,CIN,65.19722222222222,6.730555555555556,18.923689929320737,68,54,0.185185185,0.296875,0.24074074,0.53761574,0.2530218781903386,53.49311853051064,"Hurtubise, Jacob",8
472,Kyle Isbel,KCR,70.83525179856116,7.066546762589928,4.826200554652618,426,384,0.229166666,0.287081339,0.3671875,0.654268839,0.2862496987769478,80.67590489464632,"Isbel, Kyle",8
473,Travis Jankowski,TEX,65.26492537313433,6.197014925373134,4.80301978214738,207,190,0.2,0.265700483,0.242105263,0.507805746,0.2338507886670062,48.30349051536687,"Jankowski, Travis",8
474,Bryce Johnson-L,SDP,63.7,6.803999999999999,15.343940355433473,36,33,0.242424242,0.285714285,0.272727272,0.558441557,0.2515623586518424,62.66208592633752,"Johnson, Bryce",8
475,Nolan Jones,COL,69.9445205479452,6.611643835616438,8.855815598760879,297,256,0.2265625,0.320945945,0.3203125,0.641258445,0.2868956355821518,69.66194657480509,"Jones, Nolan",7
476,Edouard Julien,MIN,71.25694444444444,7.020138888888889,22.33499945782642,301,266,0.19924812,0.292358803,0.32330827,0.615667073,0.2777747092056908,79.85901251669414,"Julien, Edouard",7
477,Jace Jung,DET,70.64583333333333,7.26875,17.388162408003616,94,79,0.240506329,0.361702127,0.303797468,0.665499595,0.3080121437285809,101.64347080215948,"Jung, Jace",6
478,Niko Kavadas,LAA,70.138,6.906000000000001,27.44921130988753,106,93,0.182795698,0.283018867,0.333333333,0.6163522,0.2776129853050664,77.29737140970066,"Kavadas, Niko",7
479,Colt Keith,DET,71.20692307692308,6.587692307692307,14.295081617293867,556,516,0.259689922,0.309352517,0.379844961,0.689197478,0.3007700167838417,96.54921081293644,"Keith, Colt",8
480,Jarred Kelenic,ATL,72.78100775193798,7.179844961240311,19.54690043027292,449,412,0.230582524,0.285714285,0.393203883,0.678918168,0.2941608500960689,86.46407123085812,"Kelenic, Jarred",5
481,Max Kepler,MIN,71.36410256410257,7.345054945054946,12.24471436539192,399,368,0.252717391,0.301507537,0.380434782,0.681942319,0.2980898906238115,94.1491259960384,"Kepler, Max",5
482,Kevin Kiermaier,LAD,69.72922077922077,7.021428571428571,8.853470061336866,281,259,0.196911196,0.237226277,0.312741312,0.549967589,0.2408609912343269,54.28529892576336,"Kiermaier, Kevin",5
483,Alex Kirilloff,MIN,72.25,7.617000000000001,20.80187692153234,178,159,0.201257861,0.269662921,0.383647798,0.653310719,0.2821228812249858,82.91760551198051,"Kirilloff, Alex",6
484,Heston Kjerstad,BAL,70.25483870967743,6.801612903225807,16.938182147465316,114,99,0.252525252,0.350877192,0.393939393,0.744816585,0.3265521962727819,116.11842751896168,"Kjerstad, Heston",5
485,Steven Kwan,CLE,64.1378516624041,6.382352941176471,10.103033043129546,540,480,0.291666666,0.368029739,0.425,0.793029739,0.3494486094185854,130.84328170592786,"Kwan, Steven",7
486,Trevor Larnach,MIN,72.2011811023622,7.071653543307087,13.990566651118485,400,355,0.259154929,0.3375,0.433802816,0.771302816,0.3358623249488964,120.71902767631956,"Larnach, Trevor",6
487,Brooks Lee-L,MIN,68.91485148514852,6.726732673267327,17.272455122643805,133,123,0.211382113,0.263157894,0.31707317,0.580231064,0.2492829674982842,59.8173395508876,"Lee, Brooks",5
488,Jung Hoo Lee,SFG,69.78981481481482,7.35,12.07248396524298,158,145,0.262068965,0.310126582,0.331034482,0.641161064,0.2844509410707256,83.08855911475095,"Lee, Jung Hoo",6
489,Francisco Lindor-L,NYM,71.87057220708446,7.460217983651226,23.39376819219555,517,460,0.276086956,0.350096711,0.484782608,0.834879319,0.360364542938985,135.7302535901297,"Lindor, Francisco",6
490,Joey Loperfido,TOR,73.03999999999999,7.692413793103449,17.527311120197112,262,243,0.213991769,0.264367816,0.349794238,0.614162054,0.2683462671849919,74.04597879386205,"Loperfido, Joey",5
491,Nicky Lopez,CHW,63.46232876712329,6.640068493150685,7.118175119297781,445,398,0.24120603,0.312072892,0.293969849,0.606042741,0.2751438505014146,76.8212526724623,"Lopez, Nicky",8
492,Brandon Lowe,TBR,73.04712643678161,6.962452107279693,19.38868994832121,425,385,0.244155844,0.310588235,0.472727272,0.783315507,0.334698090739284,123.2743026621114,"Lowe, Brandon",5
493,Josh Lowe,TBR,73.2237885462555,7.077092511013216,16.909206261142486,387,353,0.240793201,0.302325581,0.390934844,0.693260425,0.2987426690582195,97.98252478205856,"Lowe, Josh",5
494,Nathaniel Lowe,TEX,73.49473684210525,7.337396121883657,11.98487208396774,565,486,0.265432098,0.361061946,0.401234567,0.762296513,0.3372676782574214,121.0490425983843,"Lowe, Nathaniel",6
495,Nathan Lukes,TOR,65.55322580645162,6.316129032258065,12.86288754093885,91,76,0.302631578,0.370786516,0.447368421,0.818154937,0.3510774186487947,132.09371211368975,"Lukes, Nathan",8
496,Gavin Lux,LAD,71.02642642642643,7.239339339339339,12.32777575392713,487,439,0.250569476,0.320328542,0.382687927,0.703016469,0.3096331884239244,99.76931851380176,"Lux, Gavin",6
497,Bligh Madris,DET,71.01063829787235,7.170212765957447,14.483802523351102,75,67,0.268656716,0.324324324,0.358208955,0.682533279,0.3012389701765937,96.87908220620749,"Madris, Bligh",6
498,Kyle Manzardo,CLE,71.19916666666667,7.37,25.473503652047,156,145,0.234482758,0.282051282,0.420689655,0.702740937,0.3026465372397349,97.9217483590648,"Manzardo, Kyle",6
499,Rafael Marchan-L,PHI,64.68695652173913,7.052173913043478,9.549753260744982,32,29,0.310344827,0.375,0.517241379,0.892241379,0.3849986419081688,148.20750779361296,"Marchán, Rafael",8
500,Brandon Marsh,PHI,72.26943396226416,7.137358490566038,11.100440269014127,476,418,0.248803827,0.328421052,0.418660287,0.747081339,0.3257733355070415,108.34481691896798,"Marsh, Brandon",6
501,Ketel Marte-L,ARI,70.8995475113122,7.285972850678733,12.62676917109333,371,311,0.26045016,0.355795148,0.485530546,0.841325694,0.3590504132412575,129.69735944493831,"Marte, Ketel",6
502,Nick Martini,CIN,69.0020202020202,6.643434343434344,14.890209015366946,163,146,0.212328767,0.271604938,0.369863013,0.641467951,0.2787828073825365,70.83198968935463,"Martini, Nick",8
503,Angel Martinez-L,CLE,67.4109756097561,7.117073170731707,16.17411264644843,125,116,0.224137931,0.266129032,0.344827586,0.610956618,0.2670626760490479,72.89133371582743,"Martínez, Angel",5
504,Michael Massey,KCR,70.59795221843004,7.026621160409557,10.27937400268845,356,332,0.259036144,0.29378531,0.44879518,0.74258049,0.3165411601323244,101.9835374141075,"Massey, Michael",5
505,Miles Mastrobuoni,CHC,64.94666666666667,6.266666666666667,13.15956598521899,106,98,0.193877551,0.245283018,0.224489795,0.469772813,0.2141002343510681,36.31625220253251,"Mastrobuoni, Miles",8
506,Kyle McCann,OAK,71.83417721518987,7.573417721518987,18.564660145857765,157,140,0.235714285,0.318471337,0.371428571,0.689899908,0.3043849353606884,101.87146780041245,"McCann, Kyle",6
507,Jake McCarthy,ARI,65.8305389221557,6.505688622754492,15.89197325067228,495,442,0.285067873,0.348979591,0.400452488,0.749432079,0.3292398854998723,109.63283087810512,"McCarthy, Jake",8
508,Grant McCray,SFG,70.94237288135594,6.98135593220339,10.759321795613586,130,124,0.201612903,0.238461538,0.379032258,0.617493796,0.2657819605790651,70.52305555714207,"McCray, Grant",5
509,Reese McGuire,BOS,67.64772727272727,7.905681818181819,13.799304344084728,158,139,0.208633093,0.280254777,0.294964028,0.575218805,0.2585388627021935,59.85663237673645,"McGuire, Reese",6
510,Zach McKinstry,DET,66.96788990825688,6.620642201834862,16.344277548605355,325,297,0.215488215,0.276923076,0.336700336,0.613623412,0.2702765873762277,75.09950984100749,"McKinstry, Zach",8
511,Ryan McMahon,COL,72.13514285714285,7.210857142857144,15.572374796217929,645,567,0.241622574,0.32503888,0.396825396,0.721864276,0.3154038186177774,88.84990788394761,"McMahon, Ryan",6
512,Jeff McNeil,NYM,68.47609329446064,7.073177842565597,16.82024907086776,472,424,0.238207547,0.307855626,0.384433962,0.692289588,0.3035550645057191,97.4935805335597,"McNeil, Jeff",5
513,Parker Meadows,DET,69.64467005076142,7.148223350253807,20.02439436991046,298,270,0.244444444,0.309764309,0.433333333,0.743097642,0.3211261931091848,110.86816094720524,"Meadows, Parker",6
514,MJ Melendez,KCR,72.55392491467576,7.710921501706485,13.568045979739168,451,412,0.206310679,0.273333333,0.400485436,0.673818769,0.291956000843133,84.68983430019267,"Melendez Jr., MJ",5
515,Jackson Merrill,SDP,71.81367924528301,7.467924528301887,16.365843609774217,593,554,0.292418772,0.32597623,0.5,0.82597623,0.351507786788097,129.9322099362613,"Merrill, Jackson",5
516,Matt Mervis,CHC,73.96666666666667,7.899999999999999,23.92211727261484,28,26,0.115384615,0.148148148,0.153846153,0.301994301,0.1372962329122755,-15.378105384313306,"Mervis, Matt",5
517,Drew Millas-L,WSN,68.87333333333332,6.9,11.045647458211622,45,42,0.285714285,0.333333333,0.38095238,0.714285713,0.3153012553850809,102.2496936198942,"Millas, Drew",8
518,Garrett Mitchell,MIL,74.39999999999999,7.3737704918032785,12.472356431126448,224,196,0.25510204,0.342342342,0.469387755,0.811730097,0.3512370078950315,125.70103637067838,"Mitchell, Garrett",6
519,Yoan Moncada-L,CHW,70.44285714285715,6.707142857142857,9.283166856695654,36,32,0.3125,0.388888888,0.46875,0.857638888,0.3722231553660499,145.10881823533123,"Moncada, Yoán",8
520,Mickey Moniak,LAA,72.96591760299626,7.692509363295881,17.08804885560488,418,392,0.219387755,0.265550239,0.38010204,0.645652279,0.2805816665220488,79.38560240314072,"Moniak, Mickey",5
521,Cedric Mullins,BAL,70.06265060240963,7.404216867469879,14.457716166399145,499,444,0.234234234,0.304878048,0.405405405,0.710283453,0.3102922748501708,104.68086673562172,"Mullins II, Cedric",5
522,Max Muncy,LAD,71.57908496732027,7.033333333333332,30.222038124028444,293,237,0.23206751,0.358361774,0.493670886,0.85203266,0.3617018884625928,134.8151227487048,"Muncy, Max",7
523,Omar Narvaez,NYM,65.54347826086956,6.817391304347827,20.290856487020623,69,65,0.153846153,0.19117647,0.184615384,0.375791854,0.171028972548597,8.29443649315023,"Narváez, Omar",8
524,Bo Naylor,CLE,70.58999999999999,7.38125,14.300378193704011,389,354,0.200564971,0.263565891,0.350282485,0.613848376,0.2685594781075117,73.94421485094172,"Naylor, Bo",6
525,Josh Naylor,CLE,72.55458515283843,7.393668122270743,13.204139399397947,633,563,0.243339253,0.319620253,0.456483126,0.776103379,0.3316002348899841,118.28837056897656,"Naylor, Josh",5
526,Brandon Nimmo,NYM,73.61583924349881,7.267612293144207,14.428483480372387,663,571,0.224168126,0.32730015,0.399299474,0.726599624,0.3205134388723402,108.90772891355446,"Nimmo, Brandon",6
527,Ryan Noda,OAK,69.61086956521739,7.339130434782609,20.167898279376185,111,95,0.136842105,0.254545454,0.210526315,0.465071769,0.2226282136006789,44.36212010600295,"Noda, Ryan",7
528,Lars Nootbaar,STL,72.091015625,6.704296875,10.882748378117745,405,348,0.244252873,0.341584158,0.416666666,0.758250824,0.3307730666737058,113.76733037008296,"Nootbaar, Lars",7
529,Nasim Nunez-L,WSN,58.415,6.0,5.082706585548036,46,36,0.222222222,0.348837209,0.222222222,0.571059431,0.2762232727782671,75.94753268028398,"Nuñez, Nasim",8
530,Ryan O'Hearn,BAL,72.49224376731303,7.020498614958449,9.374685728948576,494,443,0.264108352,0.334008097,0.426636568,0.760644665,0.3300667288826733,118.59062152936836,"O'Hearn, Ryan",6
531,Shohei Ohtani,LAD,75.8378947368421,7.684,20.03913133779973,731,636,0.309748427,0.39010989,0.646226415,1.036336305,0.4305492917641291,181.1541443950144,"Ohtani, Shohei",6
532,Matt Olson,ATL,73.96691729323308,7.323308270676692,13.607470339313805,685,600,0.246666666,0.332846715,0.456666666,0.789513381,0.3394500888445798,116.94683331152036,"Olson, Matt",6
533,James Outman,LAD,72.3,7.632727272727273,19.421947248853368,156,136,0.147058823,0.256410256,0.264705882,0.521116138,0.2416898531791491,54.03879664007621,"Outman, James",6
534,Joshua Palacios,PIT,72.30754716981133,7.264150943396227,12.840467367797592,78,67,0.223880597,0.333333333,0.343283582,0.676616915,0.3066465579546414,93.47395181132538,"Palacios, Joshua",6
535,Richie Palacios,TBR,68.50212765957447,6.867021276595745,12.823316410461056,316,264,0.223484848,0.346031746,0.318181818,0.664213564,0.3028245869155128,100.85382916243944,"Palacios, Richie",8
536,Vinnie Pasquantino,KCR,71.53961813842481,7.219331742243437,14.328079632971502,554,496,0.262096774,0.314647377,0.445564516,0.760211893,0.3245793902787609,107.63779265315767,"Pasquantino, Vinnie",6
537,Graham Pauley,SDP,68.56363636363636,6.909090909090909,-2.135836449316076,32,32,0.125,0.125,0.3125,0.4375,0.1832076124846935,16.654656301220072,"Pauley, Graham",8
538,Joc Pederson,ARI,73.62194092827005,7.654008438818566,19.13649389476761,449,367,0.275204359,0.392776523,0.514986376,0.907762899,0.3910353168878966,151.22539204110254,"Pederson, Joc",6
539,David Peralta,SDP,71.05806451612902,7.059139784946237,9.396233056960964,260,236,0.266949152,0.334615384,0.415254237,0.749869621,0.3292012595213376,114.91838805918708,"Peralta, David",5
